date,sitename,county,aqi,status
31-08-2024 23:00,Annan,Tainan City,41,Good
31-08-2024 22:00,Annan,Tainan City,42,Good
31-08-2024 21:00,Annan,Tainan City,44,Good
31-08-2024 20:00,Annan,Tainan City,46,Good
31-08-2024 19:00,Annan,Tainan City,49,Good
31-08-2024 18:00,Annan,Tainan City,51,Moderate
31-08-2024 17:00,Annan,Tainan City,51,Moderate
31-08-2024 16:00,Annan,Tainan City,54,Moderate
31-08-2024 15:00,Annan,Tainan City,57,Moderate
31-08-2024 14:00,Annan,Tainan City,60,Moderate
31-08-2024 13:00,Annan,Tainan City,62,Moderate
31-08-2024 12:00,Annan,Tainan City,63,Moderate
31-08-2024 11:00,Annan,Tainan City,65,Moderate
31-08-2024 10:00,Annan,Tainan City,63,Moderate
31-08-2024 09:00,Annan,Tainan City,61,Moderate
31-08-2024 08:00,Annan,Tainan City,56,Moderate
31-08-2024 07:00,Annan,Tainan City,53,Moderate
31-08-2024 06:00,Annan,Tainan City,50,Good
31-08-2024 05:00,Annan,Tainan City,46,Good
31-08-2024 04:00,Annan,Tainan City,47,Good
31-08-2024 03:00,Annan,Tainan City,46,Good
31-08-2024 02:00,Annan,Tainan City,47,Good
31-08-2024 01:00,Annan,Tainan City,47,Good
31-08-2024 00:00,Annan,Tainan City,44,Good
30-08-2024 23:00,Annan,Tainan City,41,Good
30-08-2024 22:00,Annan,Tainan City,39,Good
30-08-2024 21:00,Annan,Tainan City,39,Good
30-08-2024 20:00,Annan,Tainan City,38,Good
30-08-2024 19:00,Annan,Tainan City,37,Good
30-08-2024 18:00,Annan,Tainan City,37,Good
30-08-2024 17:00,Annan,Tainan City,36,Good
30-08-2024 16:00,Annan,Tainan City,34,Good
30-08-2024 15:00,Annan,Tainan City,31,Good
30-08-2024 14:00,Annan,Tainan City,29,Good
30-08-2024 13:00,Annan,Tainan City,31,Good
30-08-2024 12:00,Annan,Tainan City,34,Good
30-08-2024 11:00,Annan,Tainan City,34,Good
30-08-2024 10:00,Annan,Tainan City,33,Good
30-08-2024 09:00,Annan,Tainan City,31,Good
30-08-2024 08:00,Annan,Tainan City,32,Good
30-08-2024 07:00,Annan,Tainan City,32,Good
30-08-2024 06:00,Annan,Tainan City,30,Good
30-08-2024 05:00,Annan,Tainan City,30,Good
30-08-2024 04:00,Annan,Tainan City,30,Good
30-08-2024 03:00,Annan,Tainan City,29,Good
30-08-2024 02:00,Annan,Tainan City,29,Good
30-08-2024 01:00,Annan,Tainan City,29,Good
30-08-2024 00:00,Annan,Tainan City,29,Good
29-08-2024 23:00,Annan,Tainan City,29,Good
29-08-2024 22:00,Annan,Tainan City,30,Good
29-08-2024 21:00,Annan,Tainan City,31,Good
29-08-2024 20:00,Annan,Tainan City,31,Good
29-08-2024 19:00,Annan,Tainan City,35,Good
29-08-2024 18:00,Annan,Tainan City,39,Good
29-08-2024 17:00,Annan,Tainan City,42,Good
29-08-2024 16:00,Annan,Tainan City,43,Good
29-08-2024 15:00,Annan,Tainan City,42,Good
29-08-2024 14:00,Annan,Tainan City,44,Good
29-08-2024 13:00,Annan,Tainan City,49,Good
29-08-2024 12:00,Annan,Tainan City,53,Moderate
29-08-2024 11:00,Annan,Tainan City,54,Moderate
29-08-2024 10:00,Annan,Tainan City,53,Moderate
29-08-2024 09:00,Annan,Tainan City,52,Moderate
29-08-2024 08:00,Annan,Tainan City,52,Moderate
29-08-2024 07:00,Annan,Tainan City,49,Good
29-08-2024 06:00,Annan,Tainan City,48,Good
29-08-2024 05:00,Annan,Tainan City,48,Good
29-08-2024 04:00,Annan,Tainan City,44,Good
29-08-2024 03:00,Annan,Tainan City,40,Good
29-08-2024 02:00,Annan,Tainan City,37,Good
29-08-2024 01:00,Annan,Tainan City,37,Good
29-08-2024 00:00,Annan,Tainan City,38,Good
28-08-2024 23:00,Annan,Tainan City,38,Good
28-08-2024 22:00,Annan,Tainan City,39,Good
28-08-2024 21:00,Annan,Tainan City,40,Good
28-08-2024 20:00,Annan,Tainan City,40,Good
28-08-2024 19:00,Annan,Tainan City,41,Good
28-08-2024 18:00,Annan,Tainan City,43,Good
28-08-2024 17:00,Annan,Tainan City,44,Good
28-08-2024 16:00,Annan,Tainan City,44,Good
28-08-2024 15:00,Annan,Tainan City,42,Good
28-08-2024 14:00,Annan,Tainan City,42,Good
28-08-2024 13:00,Annan,Tainan City,43,Good
28-08-2024 12:00,Annan,Tainan City,51,Moderate
28-08-2024 11:00,Annan,Tainan City,49,Good
28-08-2024 10:00,Annan,Tainan City,49,Good
28-08-2024 09:00,Annan,Tainan City,47,Good
28-08-2024 08:00,Annan,Tainan City,43,Good
28-08-2024 07:00,Annan,Tainan City,40,Good
28-08-2024 06:00,Annan,Tainan City,37,Good
28-08-2024 05:00,Annan,Tainan City,36,Good
28-08-2024 04:00,Annan,Tainan City,31,Good
28-08-2024 03:00,Annan,Tainan City,32,Good
28-08-2024 02:00,Annan,Tainan City,34,Good
